"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2012/01/01","00:00","8.538","6.93","6.589","3.262","3.142","-0.304","-0.609","-2.279","0"
"2012/02/01","00:00","8.521","7.343","7.032","3.692","3.575","0.119","-0.091","-1.502","0"
"2012/03/01","00:00","9.023","7.238","6.927","3.629","3.49","0.053","-0.15","-1.653","0"
"2012/04/01","00:00","9.459","7.652","7.32","3.994","3.821","0.322","0.175","-1.417","0"
"2012/05/01","00:00","9.893","8.016","7.606","4.256","4.097","0.588","0.355","-1.328","0"
"2012/06/01","00:00","9.742","8.321","7.849","4.535","4.356","0.864","0.614","-1.01","0"
"2012/07/01","00:00","8.921","7.73","7.304","3.826","3.677","0.05","-0.196","-1.072","0"
"2012/08/01","00:00","8.79","7.796","7.484","4.082","3.905","0.326","0.135","-0.646","0"
"2012/09/01","00:00","8.59","7.829","7.566","4.286","4.123","0.68","0.506","-0.649","0"
"2012/10/01","00:00","9.017","7.858","7.586","4.404","4.235","0.883","0.752","-0.76","0"
"2012/11/01","00:00","9.683","8.19","7.829","4.62","4.456","1.083","0.874","-0.777","0"
"2012/12/01","00:00","9.538","7.648","7.235","3.954","3.803","0.372","0.083","-1.046","0"
"2013/01/01","00:00","8.738","7.465","7.176","3.843","3.695","0.214","-0.062","-1.308","0"
"2013/02/01","00:00","8.83","7.271","6.969","3.61","3.485","0.001","-0.262","-1.446","0"
"2013/03/01","00:00","9.092","7.573","7.314","3.875","3.723","0.132","-0.058","-1.541","0"
"2013/04/01","00:00","9.04","7.852","7.52","4.112","3.941","0.362","0.148","-0.895","0"
"2013/05/01","00:00","9.286","7.996","7.635","4.217","4.03","0.424","0.257","-1.141","0"
"2013/06/01","00:00","9.427","7.708","7.284","3.843","3.675","0.066","-0.18","-1.226","0"
"2013/07/01","00:00","9.19","7.809","7.416","3.964","3.808","0.201","0.03","-1.941","0"
"2013/08/01","00:00","9.371","8.059","7.747","4.377","4.225","0.703","0.46","-0.708","0"
"2013/09/01","00:00","9.295","8.137","7.891","4.637","4.459","1.031","0.874","-0.245","0"
"2013/10/01","00:00","9.276","8.16","7.96","4.755","4.581","1.202","1.061","0.181","0"
"2013/11/01","00:00","9.266","8.062","7.691","4.42","4.269","0.851","0.631","-0.705","0"
"2013/12/01","00:00","9.131","7.704","7.363","3.941","3.792","0.221","0.02","-1.269","0"
"2014/01/01","00:00","9.207","7.635","7.265","3.728","3.6","-0.065","-0.36","-3.172","0"
"2014/02/01","00:00","9.2","7.773","7.494","4.062","3.905","0.312","0.106","-1.531","0"
"2014/03/01","00:00","9.541","7.914","7.662","4.131","3.977","0.293","0.04","-1.974","0"
"2014/04/01","00:00","9.233","8","7.671","4.243","4.082","0.496","0.312","-0.964","0"
"2014/05/01","00:00","9.059","7.99","7.58","4.118","3.944","0.312","0.122","-1.436","0"
"2014/08/01","00:00","9.289","8.131","7.806","4.509","4.309","0.811","0.588","-1.318","0"
"2014/09/01","00:00","9.112","8.38","8.098","4.84","4.646","1.192","1.061","-0.698","0"
"2014/10/01","00:00","8.974","7.963","7.73","4.42","4.227","0.726","0.591","-1.033","0"
"2014/11/01","00:00","8.692","7.865","7.553","4.236","4.059","0.562","0.332","-1.308","0"
"2014/12/01","00:00","9.2","7.973","7.616","4.236","4.085","0.555","0.319","-1.354","0"
"2015/01/01","00:00","8.964","7.786","7.386","4.013","3.866","0.345","0.047","-1.702","0"
"2015/02/01","00:00","8.79","7.76","7.455","4.062","3.905","0.355","0.03","-2.027","0"
"2015/03/01","00:00","9.443","7.639","7.356","3.974","3.83","0.303","0.112","-0.983","0"
"2015/04/01","00:00","9.059","7.727","7.429","4.026","3.856","0.28","0.096","-1.331","0"
"2015/05/01","00:00","8.944","7.986","7.586","4.21","4.04","0.493","0.299","-1.22","0"
"2015/06/01","00:00","8.626","7.714","7.228","3.81","3.643","0.06","-0.147","-1.325","0"
"2015/07/01","00:00","9.082","7.96","7.537","4.082","3.9","0.263","0.011","-1.315","0"
"2015/08/01","00:00","9.499","8.052","7.747","4.295","4.112","0.477","0.267","-1","0"
